TRPase,Origin,Tm,Tm_std,pHrange,pH,T,kcat_30,Km_30,kcat_40,Km_40,kcat_opt,Km_opt,rel_act_std,rel_act_std-tot,rel_act_opt
EarTIL,Archae,64.2,0.5,7.0_8.0,7,57,,,,,,,2.4,0.8,10.5
TarTIL,Archae,61.9,0.9,6.5_7.5,7,45,,,,,,,0.0,0.0,0.0
EinTIL,Eukaryote,49.0,0.4,7.0_8.5,7,52,,,,,,,0.0,0.0,0.1
NcaTIL,Eukaryote,46.7,0.8,6.5_8.0,7,45,,,,,,,0.7,0.2,0.9
TclTIL,Eukaryote,67.6,0.5,6.5_8.9,7,50,,,,,,,21.2,6.8,14.4
FveTIL,Eukaryote,45.4,0.2,8.9,8.9,50,,,,,,,0.1,0.0,0.0
AarTIL,Bacterium,48.0,0.9,7.0_8.9,8,45,,,,,,,0.0,0.0,0.0
PagTIL,Bacterium,56.6,1.5,7.0_8.9,7.5,45,,,,,,,0.1,0.0,0.0
TtiTIL,Bacterium,65.0,0.9,7.5_8.9,8,45,1.49,0.69,1.69,0.57,1.58,0.37,72.7,23.3,75.2
BlaTIL,Bacterium,70.8,0.1,7.0_8.9,7.5,50,,,,,,,16.2,5.2,12.8
LfiTIL,Bacterium,67.4,0.1,7.0_8.9,8.5,53,,,,,,,16.0,5.1,19.9
PhiTIL,Bacterium,59.0,0.6,7.0_8.9,8,57,,,,,,,24.8,7.9,15.5
AsoTIL,Bacterium,71.0,0.2,7.5_8.9,8,65,2.33,0.73,2.09,0.15,7.03,0.13,54.6,17.5,75.1
PvuTIL,Bacterium,71.7,0.4,7.5_8.9,8,50,2.11,0.54,2.64,0.23,4.13,0.21,89.7,28.7,90.2
MinTIL,Bacterium,67.0,0.5,6.5_8.9,8,57,,,,,,,38.8,12.4,51.4
PreTIL,Bacterium,70.7,0.1,7.5_8.9,8.5,50,3.26,0.47,4.54,0.2,4,0.3,100.0,32.0,100.0
EcoTIL,Bacterium,60.5,0.3,7.0_8.9,8,45,2.12,0.2,2.84,0.13,2.61,0.18,71.1,22.7,50.4
VchTIL,Bacterium,54.2,0.5,7.5_8.9,8.9,40,4.51,0.84,4.38,0.37,5.95,0.17,79.3,25.4,61.3
