name	annotation	color
RMG28746.1	Archaea	#00EAFF
RLE90674.1	Archaea	#00EAFF
XP_015776371.1	Eukaryota	#FF0000
BAN40838.1	Eukaryota	#FF0000
ORY78773.1	Eukaryota	#FF0000
PRD32036.1	Eukaryota	#FF0000
RBR22522.1	Eukaryota	#FF0000
WP_071313236.1	Bacteria	#FEBE10
WP_019211973.1	Bacteria	#FEBE10
AAB24234.1	Bacteria	#FEBE10
WP_108870457.1	Bacteria	#FEBE10
WP_104148942.1	Bacteria	#FEBE10
WP_101260018.1	Bacteria	#FEBE10
WP_092012008.1	Bacteria	#FEBE10
WP_109407456.1	Bacteria	#FEBE10
WP_012992776.1	Bacteria	#FEBE10
WP_131680130.1	Bacteria	#FEBE10
WP_001295247.1	Bacteria	#FEBE10
C3LUI5.S1	Bacteria	#FEBE10
WP_139427101.1	New Protein 1	#BA55D3
TMB50071.1	New Protein 2	#FFC0CB
